cell_id,latitude,longitude,lst_median_c,lst_p90_c,ndvi_median,ndbi_median,baseline_heat_risk_score,heat_risk_class,recommendation_1,recommendation_1_score,recommendation_1_priority,recommendation_1_reason,recommendation_2,recommendation_2_score,recommendation_2_priority,recommendation_2_reason,recommendation_3,recommendation_3_score,recommendation_3_priority,recommendation_3_reason
UC_17136_2284,10.20659247851595,76.96989933158285,26.58468200000001,28.071520700000008,0.8414186835289001,-0.3580924272537231,13.512715492220725,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.841; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.358; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 26.58 °C and baseline score is 13.5; targeted shade is a lower-priority option.
UC_17135_2285,10.211012945994824,76.96540775507094,26.719693790000008,28.389396560000023,0.8323454260826111,-0.3672593832015991,13.54245587695929,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.832; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.367; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 26.72 °C and baseline score is 13.5; targeted shade is a lower-priority option.
UC_17136_2285,10.211012945981269,76.96989933160613,26.765837060000024,27.958726039999988,0.8509263396263123,-0.3739583492279053,12.910600819793643,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.851; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.374; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 26.77 °C and baseline score is 12.9; targeted shade is a lower-priority option.
UC_17137_2285,10.211012945971774,76.97439090794488,26.302695350000025,27.746808800000053,0.8409556746482849,-0.3698416650295257,12.487282678692182,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.841; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.370; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 26.30 °C and baseline score is 12.5; targeted shade is a lower-priority option.
UC_17134_2286,10.215433352003288,76.9609161787268,26.502649519999977,27.869857519999982,0.8353402614593506,-0.3651213049888611,13.183361234366656,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.835; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.365; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 26.50 °C and baseline score is 13.2; targeted shade is a lower-priority option.
UC_17135_2286,10.215433352004084,76.96540775513,26.13692138000001,27.75364484,0.8197483420372009,-0.3416493833065033,13.932786366987552,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.820; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.342; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 26.14 °C and baseline score is 13.9; targeted shade is a lower-priority option.
UC_17136_2286,10.215433352029828,76.96989933155943,27.093966980000005,28.26292982000001,0.8442361354827881,-0.3704699575901031,13.804731916600716,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.844; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.370; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 27.09 °C and baseline score is 13.8; targeted shade is a lower-priority option.
UC_17137_2286,10.215433352006045,76.97439090795775,26.719693790000008,28.08177476000003,0.8495027422904968,-0.3886734247207641,12.195475549396988,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.850; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.389; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 26.72 °C and baseline score is 12.2; targeted shade is a lower-priority option.
UC_17138_2286,10.215433352014063,76.97888248443984,26.44796120000001,28.29369200000002,0.8468208909034729,-0.3806329071521759,12.13063501853872,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.847; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.381; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 26.45 °C and baseline score is 12.1; targeted shade is a lower-priority option.
UC_17129_2287,10.219853696745403,76.93845829662396,27.220433720000017,29.797620800000004,0.8227719068527222,-0.3385676145553589,15.947274366440038,Low,Tree / Vegetation Cover,0.0,Low,NDVI is 0.823; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.339; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 27.22 °C and baseline score is 15.9; targeted shade is a lower-priority option.
